date,cat__social_distancing_total_grade_B,cat__social_distancing_total_grade_C,cat__social_distancing_total_grade_C+,cat__social_distancing_total_grade_C-,cat__social_distancing_total_grade_D,cat__social_distancing_total_grade_D+,cat__social_distancing_total_grade_F,cat__social_distancing_visitation_grade_A,cat__social_distancing_visitation_grade_F,cat__social_distancing_encounters_grade_A,cat__social_distancing_encounters_grade_F,cat__social_distancing_travel_distance_grade_B,cat__social_distancing_travel_distance_grade_C,cat__social_distancing_travel_distance_grade_D,cat__social_distancing_travel_distance_grade_F,num__daily_state_test,num__precipitation,num__temperature,num__total_population,num__female_percent,num__area,num__population_density,num__latitude,num__longitude,num__hospital_beds_ratio,num__ventilator_capacity_ratio,num__icu_beds_ratio,num__houses_density,num__less_than_high_school_diploma,num__high_school_diploma_only,num__some_college_or_higher,num__total_college_population,num__percent_smokers,num__percent_diabetes,num__Religious_congregation_ratio,num__political_party,num__airport_distance,num__passenger_load_ratio,num__meat_plants,num__median_household_income,num__percent_insured,num__deaths_per_100000,num__gdp_per_capita,num__age_0_4,num__age_5_9,num__age_10_14,num__age_15_19,num__age_20_24,num__age_25_29,num__age_30_34,num__age_35_39,num__age_40_44,num__age_45_49,num__age_50_54,num__age_55_59,num__age_60_64,num__age_65_69,num__age_70_74,num__age_75_79,num__age_80_84,num__age_85_or_higher,num__immigrant_student_ratio,num__weekend,num__lagged_covid_19_confirmed_cases_15,num__lagged_covid_19_confirmed_cases_30,num__lagged_covid_19_confirmed_cases_45,num__rolling_covid_19_confirmed_cases_15,num__rolling_covid_19_confirmed_cases_30,num__rolling_covid_19_confirmed_cases_45,covid_19_confirmed_cases
2020-05-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.2258030437770667,-0.6296652254507795,-0.2364215781281227,-2.9103830456733704e-11,2.220446049250313e-16,-2.2737367544323206e-13,2.2737367544323206e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942018e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,7.105427357601002e-15,-1.4210854715202004e-14,0.0,5.329070518200751e-15,0.0,0.0,1.1102230246251565e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.842170943040401e-14,-2.2737367544323206e-13,1.4210854715202004e-14,-8.881784197001252e-16,0.0,-2.6645352591003757e-15,0.0,-1.7763568394002505e-15,8.881784197001252e-16,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,8.881784197001252e-16,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16,-3.469446951953614e-18,-0.6278220957736403,1.466614891495413,1.8171494485112853,0.12802346153235078,1.4029589721158762,1.9553968497384964,1.9520463304035611,7494.0
2020-05-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.1432833248233096,-0.5131687841627909,-0.3570740746702894,-2.9103830456733704e-11,2.220446049250313e-16,-2.2737367544323206e-13,2.2737367544323206e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942018e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,7.105427357601002e-15,-1.4210854715202004e-14,0.0,5.329070518200751e-15,0.0,0.0,1.1102230246251565e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.842170943040401e-14,-2.2737367544323206e-13,1.4210854715202004e-14,-8.881784197001252e-16,0.0,-2.6645352591003757e-15,0.0,-1.7763568394002505e-15,8.881784197001252e-16,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,8.881784197001252e-16,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16,-3.469446951953614e-18,-0.6278220957736403,1.2706688169037719,2.1636907130080862,0.0514027667341997,1.350605981038562,1.8934525851317106,1.9666965302906807,7513.0
2020-05-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0895644184791084,-0.26278877493796965,-0.3168052743797342,-2.9103830456733704e-11,2.220446049250313e-16,-2.2737367544323206e-13,2.2737367544323206e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942018e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,7.105427357601002e-15,-1.4210854715202004e-14,0.0,5.329070518200751e-15,0.0,0.0,1.1102230246251565e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.842170943040401e-14,-2.2737367544323206e-13,1.4210854715202004e-14,-8.881784197001252e-16,0.0,-2.6645352591003757e-15,0.0,-1.7763568394002505e-15,8.881784197001252e-16,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,8.881784197001252e-16,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16,-3.469446951953614e-18,-0.6278220957736403,1.7230293927257412,2.17519560408293,0.358229136486437,1.2852996725812937,1.841236489188312,1.980045897663712,9032.0
2020-05-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.08308306888709908,-0.37003983284177183,-0.2460111096287137,-2.9103830456733704e-11,2.220446049250313e-16,-2.2737367544323206e-13,2.2737367544323206e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942018e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,7.105427357601002e-15,-1.4210854715202004e-14,0.0,5.329070518200751e-15,0.0,0.0,1.1102230246251565e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.842170943040401e-14,-2.2737367544323206e-13,1.4210854715202004e-14,-8.881784197001252e-16,0.0,-2.6645352591003757e-15,0.0,-1.7763568394002505e-15,8.881784197001252e-16,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,8.881784197001252e-16,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16,-3.469446951953614e-18,-0.6278220957736403,1.9808625080707603,2.5166816891680575,0.32301110412405815,1.1947017609063824,1.7721484145582402,1.9916608216846272,8471.0
2020-05-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.005936672285106987,1.0437492390084635,-0.7314891847725989,-2.9103830456733704e-11,2.220446049250313e-16,-2.2737367544323206e-13,2.2737367544323206e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942018e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,7.105427357601002e-15,-1.4210854715202004e-14,0.0,5.329070518200751e-15,0.0,0.0,1.1102230246251565e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.842170943040401e-14,-2.2737367544323206e-13,1.4210854715202004e-14,-8.881784197001252e-16,0.0,-2.6645352591003757e-15,0.0,-1.7763568394002505e-15,8.881784197001252e-16,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,8.881784197001252e-16,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16,-3.469446951953614e-18,1.5928079096479393,2.5048630966846055,2.684025559347599,0.855920062114786,1.0557171840185615,1.6906072128022909,1.9837778740898953,7571.0
2020-05-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.05049823872123803,-0.5100483982259938,-0.6715532540589876,-2.9103830456733704e-11,2.220446049250313e-16,-2.2737367544323206e-13,2.2737367544323206e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942018e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,7.105427357601002e-15,-1.4210854715202004e-14,0.0,5.329070518200751e-15,0.0,0.0,1.1102230246251565e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.842170943040401e-14,-2.2737367544323206e-13,1.4210854715202004e-14,-8.881784197001252e-16,0.0,-2.6645352591003757e-15,0.0,-1.7763568394002505e-15,8.881784197001252e-16,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,8.881784197001252e-16,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16,-3.469446951953614e-18,1.5928079096479393,2.5291568633986823,2.5956470779090286,0.84595593588543,0.9031642582085212,1.6061401956947237,1.9715783062424244,6627.0
2020-05-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6836129269250284,-0.3737684881033275,-0.2675457633435078,-2.9103830456733704e-11,2.220446049250313e-16,-2.2737367544323206e-13,2.2737367544323206e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942018e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,7.105427357601002e-15,-1.4210854715202004e-14,0.0,5.329070518200751e-15,0.0,0.0,1.1102230246251565e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.842170943040401e-14,-2.2737367544323206e-13,1.4210854715202004e-14,-8.881784197001252e-16,0.0,-2.6645352591003757e-15,0.0,-1.7763568394002505e-15,8.881784197001252e-16,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,8.881784197001252e-16,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16,-3.469446951953614e-18,-0.6278220957736403,1.508464007878786,2.400586879231,0.8193276675138753,0.818415422017194,1.5267950292598966,1.9584092040492478,6273.0
2020-05-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.2253052155004946,0.1753500617816674,-0.37287664850370117,-2.9103830456733704e-11,2.220446049250313e-16,-2.2737367544323206e-13,2.2737367544323206e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942018e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,7.105427357601002e-15,-1.4210854715202004e-14,0.0,5.329070518200751e-15,0.0,0.0,1.1102230246251565e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.842170943040401e-14,-2.2737367544323206e-13,1.4210854715202004e-14,-8.881784197001252e-16,0.0,-2.6645352591003757e-15,0.0,-1.7763568394002505e-15,8.881784197001252e-16,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,8.881784197001252e-16,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16,-3.469446951953614e-18,-0.6278220957736403,0.894558749746423,1.9958238932342336,1.3185647506605727,0.7584310191501392,1.4530269891131644,1.9238275217084524,4784.0
2020-05-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.14485166762301496,-0.6681744098772918,-0.48479139494132617,-2.9103830456733704e-11,2.220446049250313e-16,-2.2737367544323206e-13,2.2737367544323206e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942018e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,7.105427357601002e-15,-1.4210854715202004e-14,0.0,5.329070518200751e-15,0.0,0.0,1.1102230246251565e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.842170943040401e-14,-2.2737367544323206e-13,1.4210854715202004e-14,-8.881784197001252e-16,0.0,-2.6645352591003757e-15,0.0,-1.7763568394002505e-15,8.881784197001252e-16,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,8.881784197001252e-16,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16,-3.469446951953614e-18,-0.6278220957736403,0.9051983556066027,1.558812348921618,0.9605433875230237,0.7112995203500155,1.4033015185949413,1.9046804363887384,5868.0
2020-05-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.37935186978922447,-0.6665065545160211,-0.18735588945277978,-2.9103830456733704e-11,2.220446049250313e-16,-2.2737367544323206e-13,2.2737367544323206e-13,7.105427357601002e-15,1.4210854715202004e-14,4.336808689942018e-19,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,7.105427357601002e-15,-1.4210854715202004e-14,0.0,5.329070518200751e-15,0.0,0.0,1.1102230246251565e-16,1.4210854715202004e-14,-8.326672684688674e-17,0.0,-1.4551915228366852e-11,2.842170943040401e-14,-2.2737367544323206e-13,1.4210854715202004e-14,-8.881784197001252e-16,0.0,-2.6645352591003757e-15,0.0,-1.7763568394002505e-15,8.881784197001252e-16,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,8.881784197001252e-16,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16,-3.469446951953614e-18,-0.6278220957736403,1.2093137564434029,1.8222046279229591,1.3883136342660645,0.6543902751942872,1.3497262910351169,1.8779622135151235,6804.0
